"plu_balanza","nombre","precio_venta","codigo_barra_externo","mg"
"315","OBSESION CREMA DE MANI 85G","1560","0031500000","25"
"316","OBSESION CHOCOLATE 85G","1550","0031600000","25"
"317","OBSESION CHOCOMENTA 85G","1550","0031700000","25"
"318","ASTERIX FRUNA 300G","1350","0031800000","25"
"319","SUSTANCIAS  FRUNA 38G","200","0031900000","25"
"320","CLUB SOCIAL ORIGINAL 9UN","1800","0032000000","25"
"321","CLUB SOCIAL MANTEQUILLA 9UN","1800","0032100000","25"
"322","CLUB SOCIAL ORIGINAL 1UN","200","0032200000","25"
"323","CLUB SOCIAL MANTEQUILLA 1UN","200","0032300000","25"
"324","OREO VAINILLA 6PAQ 216G","1850","0032400000","25"
"325","OREO CHOCOLATE 6PAQ 216G","1900","0032500000","25"
"326","CUBANITO FRUNA 50G","250","0032600000","25"
"327","MARSHMALLOWS RUNRUN 50G","250","0032700000","25"
"328","BACHATA COCO 40G","250","0032800000","25"
"329","BACHATA CHOCOCREAM 40G","250","0032900000","25"
"330","KILOMBO 42G","200","0033000000","25"
"331","CHUUUTA OBLEA VAINILLA 40G","250","0033100000","25"
"332","DOBLON 16G","150","0033200000","25"
"333","BARQUILLOS CRUJ TRENDY 18UN","2200","0033300000","25"
"334","TRIX 300G","3800","0033400000","25"
"335","CHOCAPIC 330G","3650","0033500000","25"
"336","MONO CHOC 260G","2250","0033600000","25"
"337","MONO ROLLS 260G","2150","0033700000","25"
"338","MILO CEREAL 300G","4300","0033800000","25"
"339","QUAKER AVENA MULTISEMILLA 600G","2200","0033900000","25"
"340","GULLON BARQUILLOS VAINILLA 60G","1100","0034000000","25"
"341","GULLON BARQUILLOS CHOCO  60G","1100","0034100000","25"
"342","CRIOLLITAS 60G","1500","0034200000","25"
"343","MINI TRITON VAINILLA 40G","450","0034300000","25"
"344","GALLETAS DINOSAURIOS 35G","300","0034400000","25"
"345","GRILL CLASICA 35G","400","0034500000","25"
"346","SELZ CLASICA 35G","400","0034600000","25"
"347","SELZ QUESO 35G","400","0034700000","25"
"348","MINI NIZA MCKAY 40G","300","0034800000","25"
"349","MILO CEREAL 30G","550","0034900000","25"
"350","CHOCAPIC 30G","550","0035000000","25"
"351","TRIX 30G","550","0035100000","25"
"352","ESTRELLITAS 30G","550","0035200000","25"
"353","SELZ JAMON 35G","400","0035300000","25"
"354","GAME 3 TAPAS CHOC BLANCO 60G","600","0035400000","25"
"355","MINI COCO MCKAY 40G","300","0035500000","25"
"356","MINI OREO 40G","500","0035600000","25"
"357","MINI MANTEQUILLA MCKAY 40G","300","0035700000","25"
"358","BON O BON ALFAJOR CLASICO","700","0035800000","25"
"359","ALFAJOR 3 CAPAS DUL DIA BLAN60","650","0035900000","25"
"360","MINI MOROCHA 50G","450","0036000000","25"
"361","GALLETON CHOC ALME ECOVIDA 30G","1000","0036100000","25"
"362","MINI LIMON MCKAY 40G","300","0036200000","25"
"363","GALLETA SODA 54G","400","0036300000","25"
"364","GALLETA SODA LIGHT 54G","400","0036400000","25"
"366","GOMITAS FINI FRUTILLAS CREMA 9","1100","0036600000","25"
"367","GOMITAS PLATANO 90G","1100","0036700000","25"
"368","TUBOS FRUTAS SILVESTRES 80G","1100","0036800000","25"
"369","TUBOS FRUTILLA ACIDA 80G","1100","0036900000","25"
"370","GOMITAS AROS 90G","1100","0037000000","25"
"371","GOMITAS GUSANOS ACIDOS 90G","1100","0037100000","25"
"372","GOMITAS OSITOS FINI 90G","1100","0037200000","25"
"373","MOGUL ACIDO OSITOS 90G","1150","0037300000","25"
"374","AMBROSITO GOMITAS 90G","1150","0037400000","25"
"375","FLIPY GOMITAS 90G","1150","0037500000","25"
"376","GOMITAS GUSANOS 90G","1100","0037600000","25"
"377","LOOP GOMITAS ACIDAS 90G","1150","0037700000","25"
"378","GOMITAS DENTADURAS 90G","1100","0037800000","25"
"379","AMBERRIES GOMITAS 90G","1150","0037900000","25"
"380","CARAMELLI","400","0038000000","25"
"381","BOMBON ALMONDO","450","0038100000","25"
"382","MANTECOL 41G","850","0038200000","25"
"383","MANTECOL 111G","1350","0038300000","25"
"384","MANTECOL 253G","2590","0038400000","25"
"385","YOGUETA SURTIDA","150","0038500000","25"
"386","YOGUETA CHOCOCARAMEL","150","0038600000","25"
"387","TAFI","150","0038700000","25"
"388","BOWLINGS","150","0038800000","25"
"389","BONBON BUM","150","0038900000","25"
"390","PALETA ESCOBITA","150","0039000000","25"
"391","SUNY","100","0039100000","25"
"392","CHOKITA","450","0039200000","25"
"393","BOMBON OLD ENG TOFF CHOC BOLSA","1000","0039300000","25"
"394","BOMBON OLD ENG TOFF MINT BOLSA","1000","0039400000","25"
"395","FRUGELE 3X","100","0039500000","25"
"396","ALKA MENTOL 3X","100","0039600000","25"
"397","MEDIA HORA 3X","100","0039700000","25"
"398","FRUGELE XL","70","0039800000","25"
"399","CHOCOLATE MACIZOS COSTA 480G","150","0039900000","25"
"400","OMO ULTRA POWER CONC 450ML","1500","0040000000","25"
"401","DETERG POLVO DONA GABY400G","1000","0040100000","25"
"402","OMO MULTIFUNCION 200G","1800","0040200000","25"
"403","BIO FRESCURA CAMPOS 800GR","2000","0040300000","25"
"404","BIO FRESCURA BOSQUE 400G","1250","0040400000","25"
"405","OMO LIQUIDO PARA DILUIR 500ML","5100","0040500000","25"
"407","ACE NATURALS MANZANILLA 400G","1200","0040700000","25"
"408","RINSO MATIC 800G","1200","0040800000","25"
